"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_City_Midwest",-0.1142106814456,0.128025481485648,-0.892093356105854,0.126197085638513,-0.905018375564965
"b_City_South",0.00934670090881305,0.113835568529746,0.082107034115358,0.115709931100463,0.0807769983087964
"b_City_Northeast",-0.162919673106555,0.118391146881409,-1.37611364868143,0.120905235651203,-1.34749890878637
"b_Age_GenZ",0.657742300986486,0.172985596544102,3.80229518599717,0.176147100839237,3.73405124383388
"b_Age_Millenials",0.19538462024689,0.10223525826294,1.91112756564256,0.103988804156514,1.87890053964671
"b_Age_Older",-0.218512079571205,0.142035691596211,-1.53843077831736,0.13631853860785,-1.60295204014623
"b_Inc_Mid",-0.245408832310119,0.136844254618124,-1.7933440683714,0.1455131065788,-1.68650672149056
"b_Inc_High",-0.544674887595637,0.138812760821515,-3.9238099175621,0.14591378690636,-3.73285416781885
"b_Hel",-0.164054223290274,0.0474722049612071,-3.45579531063145,0.0490066761443518,-3.34758927145036
"b_Vdc",0.0680653280792076,0.0402536882480319,1.69090910775202,0.0414051953103962,1.64388375828087
"b_Edc_MoreBachelor",-0.354674141196847,0.114356253674631,-3.10148443832355,0.114524549817446,-3.09692674419768
"b_Gen_NonMale",-0.0675359362161132,0.0890073734543497,-0.758767881750282,0.0879882876526152,-0.767555978390562
"b_Chl_Yes",0.351291909386755,0.0918128403792269,3.82617407255637,0.0901719340230188,3.8958009850058
"b_Ngh_NonUrban",-0.325546966876643,0.0907034268061004,-3.58913635724673,0.0923953365381673,-3.52341340022246
"asc",1.64112797412583,8666.08380942888,0.000189373655992139,44.9501318927124,0.036509970160775
"tau_fewer",0.24432097534623,8666.08383014592,2.81927777453909e-05,43.3314427150833,0.00563842235654858
"tau_same",2.11455097766939,8666.08383030449,0.000244003060560642,46.5200342439083,0.0454546307206617
