"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"b_City_Midwest",0.0141011001157305,0.0038165418336295,0.00363661120621931,-0.000998238551692076,5.16731691490167e-05,0.000467499426382984,0.00084090393827385,0.000116031128802305,8.74475413842802e-05,4.93367536127707e-05,-0.000491097379075532,-0.000318560322341588,0.000612876405818463,-0.000642167401663582,0.00363946325965545,0.00369940214088595
"b_City_South",0.0038165418336295,0.0117566443078034,0.00386076411326229,-0.000484146589189313,1.51815883386671e-06,-0.000319385116702182,0.000517881720295787,-0.000367412163191072,-9.00552346950809e-05,0.00014041915705388,-0.000374448321708441,-0.000322083830114779,-1.41946276038946e-05,0.000308978083929872,0.00347188341127711,0.00339663988124551
"b_City_Northeast",0.0036366112062193,0.00386076411326229,0.0128405447576341,-0.000515152321692227,0.00014393706893485,-0.00080573175282066,0.000171575344787488,-0.000192249475035166,-0.000248960960945931,1.10320318731238e-05,-5.3045544498185e-05,-9.25088127151696e-05,-0.000276351983255239,0.00120236770219143,0.00396999529724896,0.00382784386290846
"b_Age_GenZ",-0.000998238551692075,-0.000484146589189315,-0.000515152321692226,0.0269751692474787,0.00552724757147243,0.00512940504758963,0.00103886428248161,0.00222707695454627,0.000141214959800875,-1.15264322276707e-05,0.00535074425858719,-0.000775735870094259,0.000215808303697568,-0.00108573422704331,0.00965029566402771,0.0101860507466728
"b_Age_Millenials",5.16731691490128e-05,1.51815883386708e-06,0.00014393706893485,0.00552724757147243,0.00934455173530259,0.00485628859836375,0.000752104719693224,0.00210280334459455,-6.65056214339297e-06,-5.70013500412987e-05,0.000170708523455778,-5.29763884183318e-05,0.000537318609444522,0.000665417489382089,0.00714969341182054,0.00716147315498828
"b_Age_Older",0.000467499426382988,-0.000319385116702179,-0.000805731752820655,0.00512940504758964,0.00485628859836376,0.0165199332133896,0.000355938531935357,-0.00029417123902981,-0.000148873627361039,-2.86698686420639e-05,0.000634669041543995,0.000258861368197194,0.00251745194997216,-0.00124685978804996,0.00556722853281078,0.00545575094617303
"b_Inc_Mid",0.000840903938273836,0.000517881720295784,0.000171575344787485,0.00103886428248159,0.00075210471969322,0.000355938531935357,0.0180695474047995,0.0138711186843225,-0.000405627813294808,-0.000186963936330947,-0.00326817256295481,0.000427552968194507,-0.000601519486623606,0.000485014380231805,0.0113580133309639,0.0112459298697629
"b_Inc_High",0.000116031128802293,-0.000367412163191065,-0.000192249475035166,0.00222707695454627,0.00210280334459457,-0.000294171239029788,0.0138711186843225,0.0182257723516586,-0.000436298074537812,-0.000433992390102206,-0.00432784686439633,0.000186893370439942,-0.000863391581929444,0.000290868095338432,0.0111065816118242,0.0107361046240934
"b_Hel",8.74475413842792e-05,-9.0055234695082e-05,-0.000248960960945931,0.000141214959800877,-6.65056214339059e-06,-0.000148873627361039,-0.000405627813294806,-0.000436298074537817,0.0020654889803387,-0.000207319950064398,-3.68240734008773e-05,-0.00039265748348986,8.58542774905948e-05,0.000114337963884871,0.00217862129975842,0.00207883437843828
"b_Vdc",4.93367536127708e-05,0.00014041915705388,1.10320318731236e-05,-1.15264322276717e-05,-5.70013500412989e-05,-2.8669868642065e-05,-0.000186963936330948,-0.000433992390102205,-0.000207319950064398,0.00153583150463576,-0.000400720871839406,-0.000161770672623245,-0.000182103729080054,6.32802963783143e-06,-7.51648677772718e-05,-8.41343323615534e-07
"b_Edc_MoreBachelor",-0.000491097379075524,-0.000374448321708442,-5.30455444981837e-05,0.0053507442585872,0.000170708523455777,0.000634669041543991,-0.0032681725629548,-0.00432784686439635,-3.6824073400879e-05,-0.000400720871839406,0.0115191005585904,0.000356823686041656,0.000480812149265593,-0.000384477631094824,0.00581907902264314,0.00552931248357936
"b_Gen_NonMale",-0.000318560322341587,-0.000322083830114777,-9.25088127151693e-05,-0.000775735870094263,-5.29763884183345e-05,0.000258861368197193,0.000427552968194511,0.00018689337043994,-0.000392657483489861,-0.000161770672623245,0.000356823686041654,0.00680780297274738,0.001040273596043,-4.90555297573832e-05,0.0035620271772207,0.00368978759875841
"b_Chl_Yes",0.000612876405818462,-1.41946276038951e-05,-0.00027635198325524,0.000215808303697563,0.000537318609444515,0.00251745194997216,-0.000601519486623608,-0.000863391581929455,8.58542774905925e-05,-0.000182103729080054,0.00048081214926559,0.001040273596043,0.0072171086507161,-6.74638049815873e-05,0.00392545825717992,0.00401769109528985
"b_Ngh_NonUrban",-0.000642167401663584,0.00030897808392987,0.00120236770219142,-0.00108573422704331,0.000665417489382084,-0.00124685978804997,0.000485014380231804,0.000290868095338427,0.000114337963884871,6.32802963783137e-06,-0.000384477631094827,-4.90555297573875e-05,-6.74638049815864e-05,0.00748606453520856,0.00514628187541871,0.00493837299009679
"tau_fewer",0.00363946325965543,0.00347188341127711,0.00396999529724894,0.00965029566402771,0.00714969341182053,0.00556722853281075,0.0113580133309639,0.0111065816118241,0.00217862129975842,-7.51648677772724e-05,0.00581907902264315,0.00356202717722068,0.00392545825717992,0.00514628187541871,0.0330332551403154,0.0311287808832502
"tau_same",0.00369940214088596,0.00339663988124553,0.00382784386290847,0.0101860507466728,0.00716147315498828,0.00545575094617303,0.0112459298697629,0.0107361046240934,0.00207883437843829,-8.41343323619167e-07,0.00552931248357938,0.00368978759875841,0.00401769109528987,0.0049383729900968,0.0311287808832503,0.0320807227724176
